2026-08-11 15:17:00 | INFO     | database.database | Initialising SQLite database at /var/folders/2n/vn5m1sj91051d07vpy12zm5c0000gn/T/tmp87utt3x_/test.db
2026-08-11 15:17:00 | INFO     | database.database | Database initialised successfully.
2026-08-11 15:17:00 | INFO     | database.database | Initialising SQLite database at /var/folders/2n/vn5m1sj91051d07vpy12zm5c0000gn/T/tmp1axeti9b/test.db
2026-08-11 15:17:00 | INFO     | database.database | Database initialised successfully.
2026-08-11 15:17:00 | INFO     | database.database | Initialising SQLite database at /var/folders/2n/vn5m1sj91051d07vpy12zm5c0000gn/T/tmpbqwexcrb/test.db
2026-08-11 15:17:00 | INFO     | database.database | Database initialised successfully.
2026-08-11 15:17:00 | INFO     | database.database | Initialising SQLite database at /var/folders/2n/vn5m1sj91051d07vpy12zm5c0000gn/T/tmpgv9iqiw8/test.db
2026-08-11 15:17:00 | INFO     | database.database | Database initialised successfully.
2026-08-11 15:17:00 | INFO     | config.config_manager | ConfigManager initialised.
2026-08-11 15:19:15 | INFO     | database.database | Initialising SQLite database at /Users/parthspanchal/Clg/Project/NeuroFence/voltguard-ics-firewall/database/voltguard.db
2026-08-11 15:19:15 | INFO     | database.database | Database initialised successfully.
2026-08-11 15:19:15 | INFO     | __main__ | VoltGuard starting — version 1.0.0
2026-08-11 15:19:16 | INFO     | config.config_manager | ConfigManager initialised.
2026-08-11 15:19:16 | INFO     | __main__ | VoltGuard GUI launched successfully.
